
>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]
Matching thres: 0.2  Save to: None

>>>>Eval hpatches: task=homography method=GeoFormer_geoformer_noms scale_H=True rthres=15
>>Finished, pairs=133 match_failed=0 matches=4237.4 match_time=0.33s
==== Homography Estimation ====
Hest solver=cv est_failed=0 ransac_thres=15 inlier_rate=0.97

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]
Matching thres: 0.2  Save to: None

>>>>Eval hpatches: task=homography method=GeoFormer_geoformer_noms scale_H=True rthres=15
>>Finished, pairs=133 match_failed=0 matches=4237.4 match_time=0.33s
==== Homography Estimation ====
Hest solver=cv est_failed=0 ransac_thres=15 inlier_rate=0.97

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]
Matching thres: 0.2  Save to: None

>>>> Method=GeoFormer Default config: {'class': 'GeoFormer', 'match_threshold': 0.2, 'imsize': 768, 'no_match_upscale': True, 'ckpt': 'saved_ckpt/geoformer.ckpt', 'ransac_thres': 15} Thres: [0.2]

Matching thres: 0.2

==========================================================================================
Pair ID         | MLE (pixels)    | Accuracy     | Matches     
==========================================================================================
S10_1_2         | Error: Can't conv | FAIL         | N/A         
P26_1_2         | Error: Can't conv | FAIL         | N/A         
S67_1_2         | Error: Can't conv | FAIL         | N/A         
S01_1_2         | Error: Can't conv | FAIL         | N/A         
P09_1_2         | Error: Can't conv | FAIL         | N/A         
P11_1_2         | Error: Can't conv | FAIL         | N/A         
S17_1_2         | Error: Can't conv | FAIL         | N/A         
S65_1_2         | Error: Can't conv | FAIL         | N/A         
S52_1_2         | Error: Can't conv | FAIL         | N/A         
S44_1_2         | Error: Can't conv | FAIL         | N/A         
S02_1_2         | Error: Can't conv | FAIL         | N/A         
S42_1_2         | Error: Can't conv | FAIL         | N/A         
P28_1_2         | Error: Can't conv | FAIL         | N/A         
S56_1_2         | Error: Can't conv | FAIL         | N/A         
P02_1_2         | Error: Can't conv | FAIL         | N/A         
S06_1_2         | Error: Can't conv | FAIL         | N/A         
P43_1_2         | Error: Can't conv | FAIL         | N/A         
S33_1_2         | Error: Can't conv | FAIL         | N/A         
S55_1_2         | Error: Can't conv | FAIL         | N/A         
P29_1_2         | Error: Can't conv | FAIL         | N/A         
P31_1_2         | Error: Can't conv | FAIL         | N/A         
S32_1_2         | Error: Can't conv | FAIL         | N/A         
P15_1_2         | Error: Can't conv | FAIL         | N/A         
A02_1_2         | Error: Can't conv | FAIL         | N/A         
S25_1_2         | Error: Can't conv | FAIL         | N/A         
S60_1_2         | Error: Can't conv | FAIL         | N/A         
A07_1_2         | Error: Can't conv | FAIL         | N/A         
A09_1_2         | Error: Can't conv | FAIL         | N/A         
P16_1_2         | Error: Can't conv | FAIL         | N/A         
A10_1_2         | Error: Can't conv | FAIL         | N/A         
S27_1_2         | Error: Can't conv | FAIL         | N/A         
S48_1_2         | Error: Can't conv | FAIL         | N/A         
P12_1_2         | Error: Can't conv | FAIL         | N/A         
S71_1_2         | Error: Can't conv | FAIL         | N/A         
S69_1_2         | Error: Can't conv | FAIL         | N/A         
S07_1_2         | Error: Can't conv | FAIL         | N/A         
S24_1_2         | Error: Can't conv | FAIL         | N/A         
S18_1_2         | Error: Can't conv | FAIL         | N/A         
P27_1_2         | Error: Can't conv | FAIL         | N/A         
S45_1_2         | Error: Can't conv | FAIL         | N/A         
P20_1_2         | Error: Can't conv | FAIL         | N/A         
S16_1_2         | Error: Can't conv | FAIL         | N/A         
S03_1_2         | Error: Can't conv | FAIL         | N/A         
S49_1_2         | Error: Can't conv | FAIL         | N/A         
